Number,First Name,Last Name,Email Address,Department,Division,Completed On,Respondent IP,Employee Commitment and Satisfaction:ECS_Q1,Employee Commitment and Satisfaction:ECS_Q2,Employee Commitment and Satisfaction:ECS_Q3,Employee Commitment and Satisfaction:ECS_Q4,Employee Commitment and Satisfaction:ECS_Q5,Employee Commitment and Satisfaction:ECS_Q6,Workplace Environment and Culture:WEC_Q1,Workplace Environment and Culture:WEC_Q2,Workplace Environment and Culture:WEC_Q3,Workplace Environment and Culture:WEC_Q4,Workplace Environment and Culture:WEC_Q5,Compensation & Benefits:CB_Q1,Compensation & Benefits:CB_Q2,Compensation & Benefits:CB_Q3,Compensation & Benefits:CB_Q4,Performance Management:PM_Q1,Performance Management:PM_Q2,Performance Management:PM_Q3,Performance Management:PM_Q4,Performance Management:PM_Q5,Performance Management:PM_Q6,Performance Management:PM_Q7,Career Development and Training:CDT_Q1,Career Development and Training:CDT_Q2,Career Development and Training:CDT_Q3,Career Development and Training:CDT_Q4,Career Development and Training:CDT_Q5,Career Development and Training:CDT_Q6,Communications:COMM_Q1,Communications:COMM_Q2,Communications:COMM_Q3,Communications:COMM_Q4,Team Effectiveness:TE_Q1,Team Effectiveness:TE_Q2,Team Effectiveness:TE_Q3,Team Effectiveness:TE_Q4,Team Effectiveness:TE_Q5,Job Stress:JS_Q1,Job Stress:JS_Q2,Job Stress:JS_Q3,Company Image:CI_Q1,Company Image:CI_Q2,Company Image:CI_Q3,Company Image:CI_Q4,Strategy:STRAT_Q1,Strategy:STRAT_Q2,Strategy:STRAT_Q3,"On a scale of zero to ten, how likely is it that you would recommend Company to friends as a great place to work?",What 2-3 things do you value most about working at Company?,What 2-3 things should Company begin to do?,What 2-3 things should Company stop doing?,Please provide suggestions for ongoing improvement to the performance feedback process.
10000010,FNAME11,LNAME11,,Field Operations,Northwest Region,2/13/2017 11:36,100.000.000.010,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,"-Solid development towards clear job roles
-Ability to deviate from standards if business needs arise
-Open communication channels across business centers","-Take a deep dive into business needs unique to various markets

-Create a strong push into recruitment of reporters",N/A,N/A
10000011,FNAME12,LNAME12,,Production,Operations,2/13/2017 11:57,100.000.000.011,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,"I value the company striving to become the best court reporting company.
I also value my coworkers","Increase the pay for it's employees.
401k matching",,
10000012,FNAME13,LNAME13,,Field Sales,Northeast Region,2/13/2017 11:36,100.000.000.012,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,7,That my RVP/OM and I have strong communication and they are responsive to my concerns. I also appreciate the trust and leeway I am given to make business judgments in my region.,More focus on my specific region would be helpful since we are basically starting from scratch - I know this is coming down the pike later this year. We really need to work on the OM side of things.,"The Center of Excellence consistently takes calls from our clients and does not relay the message to us. That causes a lot of problems, frustrations and miscommunications. A better path of communication must be made.",none.
10000013,FNAME14,LNAME14,,Finance,Corporate,2/13/2017 11:33,100.000.000.013,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,7,,"Increase compensation packages to standard employees
Standardize pricing models for clients and vendors",,
10000014,FNAME15,LNAME15,,Field Operations,Northwest Region,2/13/2017 11:56,100.000.000.014,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,8,,I think Company should begin to have outside sales representatives again in order to maintain a prescence  with our local clients.,,
10000015,FNAME16,LNAME16,,Finance,Corporate,2/13/2017 12:31,100.000.000.015,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,7,"The flexibility, meaning able to balance work and family time without any red tape.
Involvement, creating a company culture that invests in its culture and its people.","Generate viable opportunities.
Stimulate happiness by making a happier office environment.
Facilitate amazing bosses with somebody of high caliber.","I have given you a job and you should honor me.
Don't pressure an employee to attend social events.",
10000016,FNAME17,LNAME17,,Field Sales,Southeast Region,2/13/2017 11:42,100.000.000.016,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,8,The commitment to making Company a premier company.,"Company should streamline the COE and put schedulers in each office so that clients can rely on local offices for their needs while still having the support of the COE.

Company should take some risks with proposals and numbers.  It's a very smart way of building the relationship with key attorneys by handling their case.

Company should provide more training - for people in the field, they should train on operations and for operations, they should train what happens from a clients perspective and what the outside sales do.","Saying no to our clients.

Stop being defensive with clients and have a how can I make this better type of attitude.

Company should have a better response time to the client in all matters",
10000017,FNAME18,LNAME18,,ECS,Marketing/Sales,2/13/2017 11:34,100.000.000.017,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,9,"getting it right
building clients for life","getting it right
building clients for life",no comments,no comments
10000018,FNAME19,LNAME19,,Center of Excellence,Shared Services,2/13/2017 13:27,100.000.000.018,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"The 2 most things i vaule  working at Company is the people i work with, We are a family and no one gets left behind, if someone falls weall fall together. And the loyaly of the Clients who love to use our services.",,,
10000019,FNAME20,LNAME20,,Finance,Corporate,2/13/2017 11:46,100.000.000.019,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,9,"1. Good People
2. Good Work Environment","1. Need to Have everyone focused on Total Client experience & how their job impacts all parts of the process.
2. Need to focus on root causes of breakdowns not just what broke down and where it was uncovered.","1. Shielding poor performers.
2. Stop splitting Video to separate invoices from interpreting and reporter.  If a client wants that specifically we should accommodate that many more clients want a single bill and are confused over the multiple invoices.",encourage all teams to look at the 'full picture' and all the parts.  Many look at only their part and how they can get through it some look as to how they can make their portion better.  Most fail to realize that we have to look outside of our own box to find solutions since all work flows through NetSuite and it did not flow within the Solaria system ( so each part builds on the part before) .
10000020,FNAME21,LNAME21,,Production,Operations,2/20/2017 11:46,100.000.000.020,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,8,"1. I value the  work hours 

2.  The support from the management team, especially when I was sick.  

3.  Working from home.","1.  Increase pay that allows their production to team to live, based on the economy. 

2.  Hire from within more.  

3.  Start a training class for anyone that wants to go into court reporting.","1.  Treating the production team like they are different from any other department. 

2.  Stop, not including each team member on major decision changes that effect our way of doing our jobs.","Please, allow a longer time process  our performance reviews.  In production we are on a quota scale , taking time away from our work slows down our production.  ."
10000021,FNAME22,LNAME22,,Field Operations,Northeast Region,2/13/2017 11:39,100.000.000.021,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,6,,,,
10000022,FNAME23,LNAME23,,Field Operations,Southeast Region,2/13/2017 11:39,100.000.000.022,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,8,,,,
10000023,FNAME24,LNAME24,,Center of Excellence,Shared Services,2/13/2017 12:03,100.000.000.023,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,8,"1) The opportunity it has provided me to grow and learn.
2) They have identified and value what I bring to the table.
3) Current leadership, as promised, has maintained their position on moving the company to a professional, growing and profitiable business.  It's nice to finally see strong leadership and focus.","1) Matching 401K benefits
2) Sharing more about the companys budget, goals, etc., not just to management -- have everyone engaged.",,"I think overall a large part of it has to do with the individual's manager's ability to communicate actively and effectively -- have one-on-ones, let them know what they see going right and where they can improve -- provide feedback that will be beneficial to the individuals growth and development within the company."
